id,input,age,gender,days,fluctuation,gradient,all less,all more,avg less,avg more,condition,severity,direction,url
250,bloodpressure,,,3,2,,,,,,blood pressure fluctuated in the last 3 days.,1,0,
251,bloodpressure,,,5,3,,,,,,blood pressure fluctuated in the last 5 days.,2,0,
252,bloodpressure,,,7,5,,,,,,blood pressure fluctuated in the last the last week.,3,0,
253,bloodpressure,,,14,9,,,,,,blood pressure fluctuated in the last two weeks.,4,0,
254,bloodpressure,,,30,16,,,,,,blood pressure fluctuated in the last month.,5,0,
260,bloodpressure,,,3,,,,140,,,blood pressure kept higher than 140 in the last 3 days.,1.1,1,
261,bloodpressure,,,5,,,,140,,,blood pressure kept higher than 140 in the last 5 days.,2.1,1,
262,bloodpressure,,,7,,,,140,,,blood pressure kept higher than 140 in the last week.,3.1,1,
263,bloodpressure,,,14,,,,140,,,blood pressure kept higher than 140 in the last two weeks.,4.1,1,
264,bloodpressure,,,30,,,,140,,,blood pressure kept higher than 140 in the last month.,5.1,1,
270,bloodpressure,,,3,,,80,,,,blood pressure kept lower than 80 in the last 3 days.,1.1,-1,
271,bloodpressure,,,5,,,80,,,,blood pressure kept lower than 80 in the last 5 days.,2.1,-1,
272,bloodpressure,,,7,,,80,,,,blood pressure kept lower than 80 in the last week.,3.1,-1,
273,bloodpressure,,,14,,,80,,,,blood pressure kept lower than 80 in the last two weeks.,4.1,-1,
274,bloodpressure,,,30,,,80,,,,blood pressure kept lower than 80 in the last month.,5.1,-1,
265,bloodpressure,,,3,,,,,,140,average blood pressure was higher than 140 in the last 3 days.,0.9,1,
266,bloodpressure,,,5,,,,,,140,average blood pressure was higher than 140 in the last 5 days.,1.9,1,
267,bloodpressure,,,7,,,,,,140,average blood pressure was higher than 140 in the last week.,2.9,1,
268,bloodpressure,,,14,,,,,,140,average blood pressure was higher than 140 in the last two weeks.,3.9,1,
269,bloodpressure,,,30,,,,,,140,average blood pressure was higher than 140 in the last month.,4.9,1,
275,bloodpressure,,,3,,,,,80,,average blood pressure was lower than 80 in the last 3 days.,0.9,-1,
276,bloodpressure,,,5,,,,,80,,average blood pressure was lower than 80 in the last 5 days.,1.9,-1,
277,bloodpressure,,,7,,,,,80,,average blood pressure was lower than 80 in the last week.,2.9,-1,
278,bloodpressure,,,14,,,,,80,,average blood pressure was lower than 80 in the last two weeks.,3.9,-1,
279,bloodpressure,,,30,,,,,80,,average blood pressure was lower than 80 in the last month.,4.9,-1,
370,pulse,,,3,,,55,,,,heart beat rate was lower than 55 bpm in the last 3 days.,1.1,-1,
371,pulse,,,5,,,55,,,,heart beat rate was lower than 55 bpm in the last 5 days.,2.1,-1,
372,pulse,,,7,,,55,,,,heart beat rate was lower than 55 bpm in the last weeks.,3.1,-1,
373,pulse,,,14,,,55,,,,heart beat rate was lower than 55 bpm in the last two weeks.,4.1,-1,
374,pulse,,,30,,,55,,,,heart beat rate was lower than 55 bpm in the last month.,5.1,-1,
360,pulse,,,3,,,,135,,,heart beat rate was higher than 135 bpm in the last 3 days.,1.1,1,
361,pulse,,,5,,,,135,,,heart beat rate was higher than 135 bpm in the last 5 days.,2.1,1,
362,pulse,,,7,,,,135,,,heart beat rate was higher than 135 bpm in the last weeks.,3.1,1,
363,pulse,,,14,,,,135,,,heart beat rate was higher than 135 bpm in the last two weeks.,4.1,1,
364,pulse,,,30,,,,135,,,heart beat rate was higher than 135 bpm in the last month.,5.1,1,
350,pulse,,,3,2,,,,,,heart beat rate fluctuated in the last 3 days.,1,0,
